date,code,name,trade_type,price,shares,value
2025-07-01,1476,儒鴻,配對交易,410.58,135000.0,55428300.0
2025-07-01,1476,儒鴻,配對交易,410.56,94000.0,38592640.0
2025-07-01,1590,亞德客-KY,配對交易,879.0,48149.0,42322971.0
2025-07-01,1590,亞德客-KY,配對交易,878.0,64851.0,56939178.0
2025-07-01,2330,台積電,配對交易,1125.0,16000.0,18000000.0
2025-07-01,2330,台積電,配對交易,1087.5,150000.0,163125000.0
2025-07-01,2330,台積電,配對交易,1086.93,70400.0,76519872.0
2025-07-01,2330,台積電,配對交易,1086.91,39600.0,43041636.0
2025-07-01,2330,台積電,配對交易,1085.88,208565.0,226476562.0
2025-07-01,2330,台積電,配對交易,1085.86,204435.0,221987789.0
2025-07-01,2330,台積電,配對交易,1083.47,75000.0,81260250.0
2025-07-01,2330,台積電,配對交易,1083.46,107000.0,115930220.0
2025-07-01,2330,台積電,配對交易,1081.08,20400.0,22054032.0
2025-07-01,2330,台積電,配對交易,1081.06,29600.0,31999376.0
2025-07-01,2330,台積電,配對交易,1080.0,32000.0,34560000.0
2025-07-01,2383,台光電,配對交易,897.46,108000.0,96925680.0
2025-07-01,2383,台光電,配對交易,897.45,75000.0,67308750.0
2025-07-01,2504,國產,配對交易,39.15,434024.0,16992040.0
2025-07-01,2881,富邦金,配對交易,85.5,9500000.0,812250000.0
2025-07-01,2885,元大金,配對交易,33.55,8500000.0,285175000.0
2025-07-01,2885,元大金,配對交易,31.5,662235.0,20860402.0
2025-07-01,2888,新光金,配對交易,11.35,1184496.0,13444030.0
2025-07-01,2891,中信金,配對交易,44.13,1673000.0,73829490.0
2025-07-01,2891,中信金,配對交易,44.12,962000.0,42443440.0
2025-07-01,3037,欣興,配對交易,113.5,565000.0,64127500.0
2025-07-01,3231,緯創,配對交易,120.0,2115163.0,253819560.0
2025-07-01,6409,旭隼,配對交易,1309.91,13000.0,17028830.0
2025-07-01,8103,瀚荃,配對交易,47.8,700000.0,33460000.0
2025-07-01,8105,凌巨,配對交易,12.75,500000.0,6375000.0
2025-07-01,總計,,,,28286918.0,3032277548.0
2025-07-02,1307,三芳,逐筆交易,38.6,26578577.0,1025933072.0
2025-07-02,1723,中碳,配對交易,101.0,149000.0,15049000.0
2025-07-02,2308,台達電,配對交易,424.5,278000.0,118011000.0
2025-07-02,2308,台達電,配對交易,424.25,42000.0,17818500.0
2025-07-02,2317,鴻海,配對交易,161.25,112000.0,18060000.0
2025-07-02,2317,鴻海,配對交易,161.07,260000.0,41878200.0
2025-07-02,2317,鴻海,配對交易,161.06,129000.0,20776740.0
2025-07-02,2317,鴻海,配對交易,160.68,300000.0,48204000.0
2025-07-02,2330,台積電,配對交易,1077.55,17000.0,18318350.0
2025-07-02,2330,台積電,配對交易,1077.5,81000.0,87277500.0
2025-07-02,2330,台積電,配對交易,1072.5,15000.0,16087500.0
2025-07-02,2360,致茂,配對交易,444.25,41000.0,18214250.0
2025-07-02,2454,聯發科,配對交易,1293.19,123000.0,159062370.0
2025-07-02,2454,聯發科,配對交易,1293.17,202000.0,261220340.0
2025-07-02,2882,國泰金,配對交易,63.0,900000.0,56700000.0
2025-07-02,2882,國泰金,配對交易,62.96,419000.0,26380240.0
2025-07-02,2883,凱基金,配對交易,14.97,4256000.0,63712320.0
2025-07-02,2888,新光金,配對交易,12.5,814000.0,10175000.0
2025-07-02,3711,日月光投控,配對交易,141.25,631000.0,89128750.0
2025-07-02,6285,啟碁,配對交易,117.6,700000.0,82320000.0
2025-07-02,9914,美利達,配對交易,103.25,278000.0,28703500.0
2025-07-02,總計,,,,36325577.0,2223030632.0
2025-07-03,1723,中碳,配對交易,100.5,150000.0,15075000.0
2025-07-03,2317,鴻海,配對交易,163.75,183000.0,29966250.0
2025-07-03,2330,台積電,配對交易,1128.5,15000.0,16927500.0
2025-07-03,2330,台積電,配對交易,1105.0,166000.0,183430000.0
2025-07-03,2330,台積電,配對交易,1097.63,62400.0,68492112.0
2025-07-03,2330,台積電,配對交易,1097.62,46160.0,50666139.0
2025-07-03,2330,台積電,配對交易,1097.61,15840.0,17386142.0
2025-07-03,2330,台積電,配對交易,1097.6,57600.0,63221760.0
2025-07-03,2330,台積電,配對交易,1097.5,103000.0,113042500.0
2025-07-03,2330,台積電,配對交易,1095.13,112000.0,122654560.0
2025-07-03,2330,台積電,配對交易,1092.5,132000.0,144210000.0
2025-07-03,2330,台積電,配對交易,1090.0,73000.0,79570000.0
2025-07-03,2330,台積電,配對交易,1059.41,26473.0,28045761.0
2025-07-03,2330,台積電,配對交易,1059.37,23527.0,24923798.0
2025-07-03,2360,致茂,配對交易,436.25,41000.0,17886250.0
2025-07-03,2395,研華,配對交易,342.6,128000.0,43852800.0
2025-07-03,2395,研華,配對交易,342.58,228000.0,78108240.0
2025-07-03,2454,聯發科,配對交易,1280.87,33840.0,43344641.0
2025-07-03,2454,聯發科,配對交易,1280.84,20160.0,25821734.0
2025-07-03,2534,宏盛,配對交易,22.65,830000.0,18799500.0
