date,code,name,trade_type,price,shares,value
2025-01-02,00681R,元大美債20反1,配對交易,21.62,4500000.0,97290000.0
2025-01-02,1216,統一,配對交易,80.4,245000.0,19698000.0
2025-01-02,2317,鴻海,配對交易,182.17,800000.0,145736000.0
2025-01-02,2317,鴻海,配對交易,182.15,540000.0,98361000.0
2025-01-02,2330,台積電,配對交易,1062.98,22950.0,24395391.0
2025-01-02,2330,台積電,配對交易,1062.96,22050.0,23438268.0
2025-01-02,2357,華碩,配對交易,603.96,69000.0,41673240.0
2025-01-02,2357,華碩,配對交易,603.94,58000.0,35028520.0
2025-01-02,2454,聯發科,配對交易,1342.5,35000.0,46987500.0
2025-01-02,2538,基泰,配對交易,14.7,1000000.0,14700000.0
2025-01-02,2882,國泰金,配對交易,68.15,290000.0,19763500.0
2025-01-02,3018,隆銘綠能,配對交易,27.1,1211500.0,32831650.0
2025-01-03,2308,台達電,配對交易,415.84,287920.0,119728653.0
2025-01-03,2308,台達電,配對交易,415.82,200080.0,83197266.0
2025-01-03,2317,鴻海,配對交易,181.38,108000.0,19589040.0
2025-01-03,2317,鴻海,配對交易,181.37,128000.0,23215360.0
2025-01-03,2330,台積電,配對交易,1079.91,78000.0,84232980.0
2025-01-03,2330,台積電,配對交易,1079.89,135000.0,145785150.0
2025-01-03,2330,台積電,配對交易,1079.53,29000.0,31306370.0
2025-01-03,2382,廣達,配對交易,288.78,118000.0,34076040.0
2025-01-03,2382,廣達,配對交易,288.75,300000.0,86625000.0
2025-01-03,2454,聯發科,配對交易,1358.0,12661.0,17193638.0
2025-01-03,2454,聯發科,配對交易,1357.5,418000.0,567435000.0
2025-01-03,2454,聯發科,配對交易,1356.0,12339.0,16731684.0
2025-01-03,2454,聯發科,配對交易,1352.5,43000.0,58157500.0
2025-01-03,2454,聯發科,配對交易,1347.5,12000.0,16170000.0
2025-01-03,6415,矽力*-KY,配對交易,384.25,48000.0,18444000.0
2025-01-06,1216,統一,配對交易,80.85,249000.0,20131650.0
2025-01-06,2303,聯電,配對交易,43.65,500000.0,21825000.0
2025-01-06,2303,聯電,配對交易,43.6,1000000.0,43600000.0
2025-01-06,2303,聯電,配對交易,43.55,500000.0,21775000.0
2025-01-06,2308,台達電,配對交易,416.57,756000.0,314926920.0
2025-01-06,2308,台達電,配對交易,416.56,444000.0,184952640.0
2025-01-06,2330,台積電,配對交易,1125.0,2259000.0,2541375000.0
2025-01-06,2330,台積電,配對交易,1122.5,162000.0,181845000.0
2025-01-06,2330,台積電,配對交易,1118.4,587000.0,656500800.0
2025-01-06,2330,台積電,配對交易,1117.5,124000.0,138570000.0
2025-01-06,2330,台積電,配對交易,1100.0,418000.0,459800000.0
2025-01-06,2382,廣達,配對交易,296.59,55000.0,16312450.0
2025-01-06,2383,台光電,配對交易,620.0,402000.0,249240000.0
2025-01-06,2412,中華電,配對交易,124.15,125000.0,15518750.0
2025-01-06,2454,聯發科,配對交易,1425.0,424000.0,604200000.0
2025-01-06,2454,聯發科,配對交易,1421.7,42000.0,59711400.0
2025-01-06,2454,聯發科,配對交易,1414.31,47520.0,67208011.0
2025-01-06,2454,聯發科,配對交易,1414.3,24480.0,34622064.0
2025-01-06,2886,兆豐金,配對交易,38.88,500000.0,19440000.0
2025-01-06,3017,奇鋐,配對交易,627.0,100000.0,62700000.0
2025-01-06,6669,緯穎,配對交易,2700.0,68000.0,183600000.0
2025-01-08,1216,統一,配對交易,78.67,283000.0,22263610.0
2025-01-08,2027,大成鋼,配對交易,30.0,8700000.0,261000000.0
2025-01-08,2308,台達電,配對交易,444.75,45000.0,20013750.0
2025-01-08,2308,台達電,配對交易,434.5,55000.0,23897500.0
2025-01-08,2308,台達電,配對交易,429.93,266605.0,114621488.0
2025-01-08,2308,台達電,配對交易,429.91,484395.0,208246254.0
2025-01-08,2330,台積電,配對交易,1169.75,38000.0,44450500.0
2025-01-08,2330,台積電,配對交易,1117.5,18000.0,20115000.0
2025-01-08,2330,台積電,配對交易,1114.0,17327.0,19302278.0
2025-01-08,2330,台積電,配對交易,1113.41,19800.0,22045518.0
2025-01-08,2330,台積電,配對交易,1113.4,365300.0,406725020.0
2025-01-08,2330,台積電,配對交易,1113.39,893700.0,995036643.0
2025-01-08,2330,台積電,配對交易,1113.38,23200.0,25830416.0
2025-01-08,2330,台積電,配對交易,1113.0,26673.0,29687049.0
2025-01-08,2330,台積電,配對交易,1110.0,22000.0,24420000.0
2025-01-08,2330,台積電,配對交易,1108.8,49610.0,55007568.0
2025-01-08,2330,台積電,配對交易,1108.79,98390.0,109093848.0
2025-01-08,2330,台積電,配對交易,1108.25,736000.0,815672000.0
2025-01-08,2337,旺宏,配對交易,19.68,755000.0,14858400.0
2025-01-08,2337,旺宏,配對交易,19.64,759000.0,14906760.0
2025-01-08,2360,致茂,配對交易,384.25,167000.0,64169750.0
2025-01-08,2382,廣達,配對交易,295.09,82000.0,24197380.0
2025-01-08,2454,聯發科,配對交易,1479.4,113880.0,168474072.0
2025-01-08,2454,聯發科,配對交易,1479.38,105120.0,155512426.0
2025-01-08,2454,聯發科,配對交易,1466.25,12000.0,17595000.0
2025-01-08,2881,富邦金,配對交易,91.55,187000.0,17119850.0
2025-01-08,2882,國泰金,配對交易,69.09,900000.0,62181000.0
2025-01-08,2884,玉山金,配對交易,27.34,821000.0,22446140.0
2025-01-08,2884,玉山金,配對交易,27.33,853000.0,23312490.0
2025-01-08,2891,中信金,配對交易,39.2,541000.0,21207200.0
2025-01-08,3017,奇鋐,配對交易,621.5,27000.0,16780500.0
2025-01-08,3661,世芯-KY,配對交易,3095.0,12000.0,37140000.0
2025-01-08,3661,世芯-KY,配對交易,3072.5,21000.0,64522500.0
2025-01-08,4938,和碩,配對交易,95.26,191000.0,18194660.0
2025-01-08,4938,和碩,配對交易,95.05,190000.0,18059500.0
2025-01-08,5269,祥碩,配對交易,2045.0,10000.0,20450000.0
