date,code,foreign_net,trust_net,dealer_net,total_net
2026-04-07,0050,-2591826.0,2700000.0,-2457225.0,-2349051.0
2026-04-07,0051,0.0,0.0,8359.0,8359.0
2026-04-07,0052,4205058.0,0.0,3175555.0,7380613.0
2026-04-07,0053,-3000.0,0.0,4373.0,1373.0
2026-04-07,0055,6000.0,0.0,-136996.0,-130996.0
2026-04-07,0056,-3103617.0,390000.0,-33644398.0,-36358015.0
2026-04-07,0057,0.0,0.0,-2000.0,-2000.0
2026-04-07,0061,-12000.0,0.0,-27119.0,-39119.0
2026-04-07,006203,0.0,0.0,-1000.0,-1000.0
2026-04-07,006204,8000.0,0.0,-228.0,7772.0
2026-04-07,006205,-71820.0,0.0,4511.0,-67309.0
2026-04-07,006206,0.0,0.0,-17165.0,-17165.0
2026-04-07,006207,3000.0,0.0,-2797.0,203.0
2026-04-07,006208,-146038.0,0.0,-1434986.0,-1581024.0
2026-04-07,00631L,10219557.0,400000.0,24131797.0,34751354.0
2026-04-07,00632R,872429.0,0.0,-34158336.0,-33285907.0
2026-04-07,00633L,-757000.0,0.0,-1636514.0,-2393514.0
2026-04-07,00634R,0.0,0.0,-47104.0,-47104.0
2026-04-07,00635U,115482.0,0.0,810610.0,926092.0
2026-04-07,00636,5000.0,0.0,-139624.0,-134624.0
2026-04-07,00636K,0.0,0.0,0.0,0.0
2026-04-07,00637L,-9864000.0,0.0,-4641377.0,-14505377.0
2026-04-07,00638R,0.0,0.0,257000.0,257000.0
2026-04-07,00639,-89936.0,0.0,-43978.0,-133914.0
2026-04-07,00640L,11000.0,0.0,100447.0,111447.0
2026-04-07,00641R,0.0,0.0,-382189.0,-382189.0
2026-04-07,00642U,9426560.0,0.0,7152188.0,16578748.0
2026-04-07,00643,27000.0,0.0,-266817.0,-239817.0
2026-04-07,00643K,0.0,0.0,0.0,0.0
2026-04-07,00645,-7508.0,0.0,-45847.0,-53355.0
2026-04-07,00646,-32466.0,40000.0,-1594057.0,-1586523.0
2026-04-07,00647L,12000.0,0.0,-69092.0,-57092.0
2026-04-07,00648R,9000.0,0.0,-646460.0,-637460.0
2026-04-07,00650L,2288000.0,0.0,-248191.0,2039809.0
2026-04-07,00651R,14000.0,0.0,40940.0,54940.0
2026-04-07,00652,10612.0,0.0,-142932.0,-132320.0
2026-04-07,00653L,-18000.0,0.0,253809.0,235809.0
2026-04-07,00654R,0.0,0.0,-43073.0,-43073.0
2026-04-07,00655L,76000.0,0.0,-584337.0,-508337.0
2026-04-07,00656R,0.0,0.0,61921.0,61921.0
2026-04-07,00657,8000.0,0.0,13531.0,21531.0
2026-04-07,00657K,0.0,0.0,0.0,0.0
2026-04-07,00660,0.0,0.0,0.0,0.0
2026-04-07,00661,0.0,0.0,-22640.0,-22640.0
2026-04-07,00662,110616.0,0.0,-900602.0,-789986.0
2026-04-07,00663L,618000.0,0.0,4364366.0,4982366.0
2026-04-07,00664R,0.0,0.0,-9526462.0,-9526462.0
2026-04-07,00665L,903000.0,0.0,421148.0,1324148.0
2026-04-07,00666R,0.0,0.0,-61.0,-61.0
2026-04-07,00668,3000.0,0.0,299.0,3299.0
2026-04-07,00668K,0.0,0.0,0.0,0.0
2026-04-07,00669R,0.0,0.0,-14120.0,-14120.0
2026-04-07,00670L,-40000.0,0.0,1067291.0,1027291.0
2026-04-07,00671R,0.0,0.0,-2735814.0,-2735814.0
2026-04-07,00673R,-447000.0,0.0,-2139423.0,-2586423.0
2026-04-07,00674R,543000.0,0.0,291220.0,834220.0
2026-04-07,00675L,64000.0,0.0,1162867.0,1226867.0
2026-04-07,00676R,-1000.0,0.0,71653.0,70653.0
2026-04-07,00678,0.0,0.0,-9130.0,-9130.0
2026-04-07,00680L,2328000.0,0.0,18111239.0,20439239.0
2026-04-07,00681R,-5000.0,0.0,2940.0,-2060.0
2026-04-07,00682U,0.0,0.0,-2096.0,-2096.0
2026-04-07,00683L,3000.0,0.0,-3000.0,0.0
2026-04-07,00684R,0.0,0.0,-13061.0,-13061.0
2026-04-07,00685L,0.0,0.0,423919.0,423919.0
2026-04-07,00686R,10000.0,0.0,-1257655.0,-1247655.0
2026-04-07,00688L,558000.0,0.0,8024556.0,8582556.0
2026-04-07,00689R,-10000.0,0.0,9940.0,-60.0
2026-04-07,00690,-2000.0,0.0,-101372.0,-103372.0
2026-04-07,00692,-159984.0,0.0,-195157.0,-355141.0
2026-04-07,00693U,-129000.0,0.0,-1805894.0,-1934894.0
2026-04-07,00700,-15000.0,0.0,12362.0,-2638.0
2026-04-07,00701,132000.0,0.0,213034.0,345034.0
2026-04-07,00702,0.0,0.0,2000.0,2000.0
2026-04-07,00703,0.0,0.0,10175.0,10175.0
2026-04-07,00706L,0.0,0.0,-914520.0,-914520.0
2026-04-07,00708L,880000.0,0.0,-873827.0,6173.0
2026-04-07,00709,11000.0,0.0,-21252.0,-10252.0
2026-04-07,00710B,93000.0,0.0,-61641.0,31359.0
2026-04-07,00711B,63000.0,0.0,-61118.0,1882.0
2026-04-07,00712,49120.0,0.0,1656311.0,1705431.0
2026-04-07,00713,833574.0,0.0,3562409.0,4395983.0
2026-04-07,00714,-1000.0,0.0,33986.0,32986.0
2026-04-07,00715L,3537000.0,0.0,11756599.0,15293599.0
2026-04-07,00717,2000.0,0.0,-6000.0,-4000.0
2026-04-07,00728,3000.0,0.0,-3313.0,-313.0
2026-04-07,00730,-11000.0,0.0,-14367.0,-25367.0
2026-04-07,00731,2938.0,0.0,44393.0,47331.0
2026-04-07,00733,44000.0,0.0,296328.0,340328.0
2026-04-07,00735,516020.0,0.0,175007.0,691027.0
2026-04-07,00736,0.0,0.0,1000.0,1000.0
2026-04-07,00737,-6000.0,0.0,-12477.0,-18477.0
2026-04-07,00738U,-125180.0,0.0,2007712.0,1882532.0
2026-04-07,00739,-5000.0,0.0,-38494.0,-43494.0
2026-04-07,00752,-12000.0,0.0,77798.0,65798.0
2026-04-07,00753L,985000.0,0.0,466453.0,1451453.0
2026-04-07,00757,349488.0,0.0,115259.0,464747.0
2026-04-07,00762,3007.0,0.0,-118403.0,-115396.0
2026-04-07,00763U,175000.0,0.0,-26370.0,148630.0
2026-04-07,00770,91000.0,0.0,-183269.0,-92269.0
2026-04-07,00771,0.0,0.0,28.0,28.0
2026-04-07,00775B,0.0,0.0,1168.0,1168.0
2026-04-07,00783,7000.0,0.0,-89196.0,-82196.0
2026-04-07,00830,7570843.0,0.0,-318087.0,7252756.0
2026-04-07,00850,-5000.0,0.0,-148026.0,-153026.0
2026-04-07,00851,0.0,0.0,-5817.0,-5817.0
2026-04-07,00852L,6000.0,0.0,79984.0,85984.0
2026-04-07,00861,10347.0,0.0,-85488.0,-75141.0
2026-04-07,00865B,-679000.0,0.0,-2713525.0,-3392525.0
2026-04-07,00875,1000.0,0.0,52899.0,53899.0
2026-04-07,00876,-9627.0,0.0,13229.0,3602.0
2026-04-07,00878,1369672.0,0.0,8241649.0,9611321.0
2026-04-07,00881,3831050.0,0.0,1168463.0,4999513.0
2026-04-07,00882,804300.0,0.0,143189.0,947489.0
2026-04-07,00885,-734417.0,0.0,-84042.0,-818459.0
2026-04-07,00891,911108.0,0.0,614238.0,1525346.0
2026-04-07,00892,102000.0,30000.0,-101477.0,30523.0
2026-04-07,00893,135000.0,0.0,270553.0,405553.0
2026-04-07,00894,-15000.0,0.0,430084.0,415084.0
2026-04-07,00895,-17000.0,0.0,255084.0,238084.0
2026-04-07,00896,279000.0,0.0,101926.0,380926.0
2026-04-07,00897,55000.0,0.0,51162.0,106162.0
2026-04-07,00898,35000.0,0.0,100880.0,135880.0
2026-04-07,00899,-500.0,0.0,-100401.0,-100901.0
