date,code,foreign_net,trust_net,dealer_net,total_net
2026-01-02,0050,-11428844.0,0.0,1181926.0,-10246918.0
2026-01-02,0051,0.0,0.0,61186.0,61186.0
2026-01-02,0052,-6520640.0,-1001000.0,-6670142.0,-14191782.0
2026-01-02,0053,0.0,0.0,4493.0,4493.0
2026-01-02,0055,-16000.0,0.0,657.0,-15343.0
2026-01-02,0056,7315370.0,0.0,12810188.0,20125558.0
2026-01-02,0057,0.0,0.0,-1000.0,-1000.0
2026-01-02,0061,440000.0,0.0,-115714.0,324286.0
2026-01-02,006204,1000.0,0.0,998.0,1998.0
2026-01-02,006205,355000.0,0.0,67868.0,422868.0
2026-01-02,006206,77000.0,0.0,51203.0,128203.0
2026-01-02,006207,88000.0,0.0,-81191.0,6809.0
2026-01-02,006208,-36600.0,0.0,5536806.0,5500206.0
2026-01-02,00631L,528935.0,0.0,829438.0,1358373.0
2026-01-02,00632R,-6444000.0,0.0,-24199251.0,-30643251.0
2026-01-02,00633L,337000.0,0.0,898274.0,1235274.0
2026-01-02,00634R,0.0,0.0,-94000.0,-94000.0
2026-01-02,00635U,29039.0,0.0,-1828778.0,-1799739.0
2026-01-02,00636,30000.0,0.0,335011.0,365011.0
2026-01-02,00636K,0.0,0.0,0.0,0.0
2026-01-02,00637L,11116000.0,0.0,2813255.0,13929255.0
2026-01-02,00638R,0.0,0.0,71000.0,71000.0
2026-01-02,00639,9000.0,0.0,363273.0,372273.0
2026-01-02,00640L,-18000.0,0.0,138443.0,120443.0
2026-01-02,00641R,0.0,0.0,-77001.0,-77001.0
2026-01-02,00642U,18000.0,0.0,4225.0,22225.0
2026-01-02,00643,93000.0,0.0,-123184.0,-30184.0
2026-01-02,00645,-1000.0,0.0,-82180.0,-83180.0
2026-01-02,00646,-189141.0,30000.0,-6647169.0,-6806310.0
2026-01-02,00647L,0.0,0.0,-72876.0,-72876.0
2026-01-02,00648R,0.0,0.0,1212000.0,1212000.0
2026-01-02,00650L,142000.0,0.0,5406606.0,5548606.0
2026-01-02,00651R,0.0,0.0,-360080.0,-360080.0
2026-01-02,00652,1127.0,0.0,222178.0,223305.0
2026-01-02,00653L,2000.0,0.0,97733.0,99733.0
2026-01-02,00654R,0.0,0.0,28510.0,28510.0
2026-01-02,00655L,164000.0,0.0,776361.0,940361.0
2026-01-02,00656R,0.0,0.0,-7000.0,-7000.0
2026-01-02,00657,-1000.0,0.0,-121924.0,-122924.0
2026-01-02,00657K,0.0,0.0,0.0,0.0
2026-01-02,00660,0.0,0.0,36000.0,36000.0
2026-01-02,00661,-1000.0,0.0,37615.0,36615.0
2026-01-02,00662,123325.0,0.0,-4844128.0,-4720803.0
2026-01-02,00663L,244000.0,0.0,1905807.0,2149807.0
2026-01-02,00664R,0.0,0.0,5295197.0,5295197.0
2026-01-02,00665L,2778000.0,0.0,22803196.0,25581196.0
2026-01-02,00666R,126000.0,0.0,-311080.0,-185080.0
2026-01-02,00668,-2000.0,0.0,-342.0,-2342.0
2026-01-02,00668K,0.0,0.0,0.0,0.0
2026-01-02,00669R,0.0,0.0,1672839.0,1672839.0
2026-01-02,00670L,39300.0,0.0,-276347.0,-237047.0
