date,underlying,underlying_name,call_value,call_volume,call_trades,call_up_value,call_down_value,call_n,put_value,put_volume,put_trades,put_up_value,put_down_value,put_n
2026-04-08,0050,元大台灣50,54194710.0,27256000.0,913.0,47012640.0,0.0,113.0,34043180.0,28682000.0,635.0,9922320.0,21062820.0,73.0
2026-04-08,0052,富邦科技,1664750.0,1165000.0,43.0,949250.0,0.0,11.0,694140.0,5055000.0,19.0,0.0,56000.0,4.0
2026-04-08,00631L,元大台灣50正2,8105610.0,5001000.0,385.0,5683250.0,0.0,53.0,9701520.0,7670000.0,288.0,2000.0,9472820.0,42.0
2026-04-08,00632R,元大台灣50反1,15710840.0,24639000.0,717.0,0.0,14356570.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00633L,富邦上証正2,1346770.0,1966000.0,88.0,1191330.0,0.0,26.0,163190.0,449000.0,40.0,0.0,155530.0,4.0
2026-04-08,00635U,期元大S&P黃金(原名：元大S&P黃金),6949290.0,5008000.0,285.0,5464290.0,12900.0,80.0,235430.0,198000.0,16.0,0.0,93750.0,10.0
2026-04-08,00637L,元大滬深300正2,8139890.0,8127000.0,360.0,6336660.0,0.0,66.0,1279690.0,1730000.0,55.0,0.0,1211690.0,10.0
2026-04-08,00638R,元大滬深300反1,5560.0,12000.0,2.0,0.0,4500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00640L,富邦日本正2,622360.0,378000.0,32.0,375270.0,0.0,10.0,709410.0,462000.0,26.0,0.0,709410.0,2.0
2026-04-08,00641R,富邦日本反1,274750.0,676000.0,15.0,0.0,182760.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00642U,期元大S&P石油(原名：元大S&P石油),25207940.0,14350000.0,487.0,0.0,25055700.0,45.0,7500060.0,3395000.0,86.0,7431270.0,0.0,9.0
2026-04-08,00647L,元大S&P500正2,188740.0,189000.0,10.0,188740.0,0.0,4.0,1511750.0,1508000.0,21.0,0.0,843080.0,7.0
2026-04-08,00648R,元大S&P500反1,221610.0,950000.0,16.0,0.0,210000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00650L,復華香港正2,1825840.0,3127000.0,81.0,918240.0,0.0,22.0,542320.0,484000.0,46.0,0.0,79200.0,6.0
2026-04-08,00651R,復華香港反1,31260.0,158000.0,7.0,0.0,19760.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00655L,國泰中國A50正2,809540.0,1552000.0,38.0,539450.0,0.0,13.0,48770.0,842000.0,18.0,0.0,24560.0,2.0
2026-04-08,00662,富邦NASDAQ,18240.0,101000.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00663L,國泰臺灣加權正2,6448130.0,4848000.0,139.0,3904090.0,0.0,12.0,2376250.0,3923000.0,96.0,0.0,2221380.0,9.0
2026-04-08,00664R,國泰臺灣加權反1,1704340.0,7658000.0,156.0,0.0,1538640.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00665L,富邦恒生國企正2,175860.0,229000.0,12.0,92750.0,0.0,8.0,693690.0,809000.0,19.0,0.0,693690.0,1.0
2026-04-08,00668,國泰美國道瓊,106930.0,222000.0,12.0,106930.0,0.0,2.0,201320.0,169000.0,6.0,0.0,13860.0,2.0
2026-04-08,00669R,國泰美國道瓊反1,1135460.0,3276000.0,44.0,0.0,730350.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00670L,富邦NASDAQ正2,3169160.0,1315000.0,56.0,2076650.0,0.0,12.0,1600760.0,1230000.0,81.0,0.0,1271780.0,12.0
2026-04-08,00673R,期元大S&P原油反1(原名：元大S&P原油反1),4822120.0,3913000.0,142.0,0.0,4822120.0,14.0,7552520.0,2819000.0,21.0,0.0,7552520.0,1.0
2026-04-08,00674R,期元大S&P黃金反1(原名：元大S&P黃金反1),13040.0,86000.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00675L,FB臺灣加權正2,3940.0,1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00676R,富邦臺灣加權反1,147680.0,361000.0,7.0,0.0,147680.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00680L,元大美債20正2,6366090.0,9292000.0,73.0,5190200.0,0.0,13.0,148000.0,200000.0,1.0,0.0,148000.0,1.0
2026-04-08,00681R,元大美債20反1,21400.0,20000.0,1.0,0.0,21400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00683L,期元大美元指正2(原名：元大美元指數正2),47000.0,131000.0,4.0,0.0,1860.0,3.0,120.0,1000.0,1.0,0.0,0.0,1.0
2026-04-08,00688L,國泰20年美債正2,1020170.0,2660000.0,11.0,810230.0,0.0,7.0,12200.0,20000.0,1.0,0.0,12200.0,1.0
2026-04-08,00693U,期街口S&P黃豆,1022250.0,1514000.0,44.0,0.0,857490.0,18.0,5950.0,35000.0,3.0,0.0,0.0,1.0
2026-04-08,00706L,期元大S&P日圓正2(原名：元大S&P日圓正2),4346110.0,5788000.0,41.0,222950.0,0.0,14.0,19330.0,19000.0,2.0,0.0,0.0,2.0
2026-04-08,00708L,期元大S&P黃金正2(原名：元大S&P黃金正2),12676940.0,7162000.0,353.0,9046570.0,0.0,93.0,314630.0,214000.0,23.0,0.0,279620.0,9.0
2026-04-08,00715L,期街口布蘭特正2,18270200.0,9772000.0,710.0,0.0,16534820.0,63.0,2385870.0,1263000.0,83.0,2370150.0,0.0,12.0
2026-04-08,00738U,期元大道瓊白銀(原名：元大道瓊白銀),10719160.0,5401000.0,329.0,4798140.0,33540.0,96.0,191840.0,82000.0,13.0,0.0,78820.0,11.0
2026-04-08,00752,中信中國50,6860.0,58000.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00753L,中信中國50正2,447780.0,1597000.0,32.0,64310.0,0.0,12.0,24700.0,20000.0,2.0,0.0,24700.0,1.0
2026-04-08,00757,統一FANG+,176380.0,65000.0,6.0,176380.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00763U,期街口道瓊銅,307920.0,360000.0,21.0,27540.0,0.0,16.0,8960.0,8000.0,1.0,0.0,8960.0,1.0
2026-04-08,00830,國泰費城半導體,818920.0,381000.0,63.0,585200.0,0.0,15.0,355210.0,360000.0,26.0,0.0,355210.0,5.0
2026-04-08,00852L,國泰美國道瓊正2,106590.0,125000.0,11.0,102820.0,0.0,4.0,441760.0,375000.0,11.0,0.0,415060.0,4.0
2026-04-08,00878,國泰永續高股息,35690.0,31000.0,2.0,35690.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00881,國泰台灣科技龍頭,21660.0,11000.0,6.0,12440.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00885,富邦越南,964330.0,724000.0,49.0,873660.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00891,中信關鍵半導體,61630.0,25000.0,6.0,61630.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00896,中信綠能及電動車,3010.0,1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00919,群益台灣精選高息,0.0,0.0,0.0,0.0,0.0,0.0,17480.0,18000.0,3.0,0.0,6000.0,2.0
2026-04-08,00922,國泰台灣領袖 50,27840.0,16000.0,1.0,27840.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,00929,復華台灣科技優息,1010.0,1000.0,1.0,1010.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1101,台泥,8304710.0,13598000.0,320.0,5437970.0,0.0,35.0,980.0,2000.0,1.0,0.0,980.0,1.0
2026-04-08,1102,亞泥,6000.0,30000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1215,卜蜂,163080.0,363000.0,14.0,3950.0,158930.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1216,統一,422110.0,559000.0,23.0,120680.0,295390.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1301,台塑,7604910.0,7145000.0,384.0,131250.0,7338770.0,71.0,25810.0,28000.0,10.0,16630.0,0.0,3.0
2026-04-08,1303,南亞,54673350.0,30321000.0,1271.0,40225420.0,59400.0,172.0,216680.0,371000.0,18.0,0.0,72230.0,7.0
2026-04-08,1304,台聚,3210820.0,2265000.0,134.0,0.0,3205340.0,19.0,25520.0,17000.0,4.0,10720.0,0.0,3.0
2026-04-08,1307,三芳,33270.0,52000.0,5.0,33050.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1308,亞聚,2065550.0,2230000.0,97.0,0.0,2065550.0,11.0,3350.0,2000.0,2.0,0.0,0.0,1.0
2026-04-08,1312,國喬,1993910.0,3314000.0,88.0,0.0,1993280.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1319,東陽,164510.0,501000.0,13.0,630.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1326,台化,6142570.0,4388000.0,238.0,0.0,5683870.0,61.0,39700.0,50000.0,6.0,36400.0,0.0,2.0
2026-04-08,1402,遠東新,538210.0,679000.0,22.0,0.0,382410.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1409,新纖,835180.0,2708000.0,20.0,794610.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1442,名軒,270.0,1000.0,1.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1476,儒鴻,186240.0,359000.0,26.0,148610.0,37510.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1477,聚陽,434790.0,1907000.0,70.0,362950.0,48930.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1503,士電,5193430.0,11726000.0,153.0,2840650.0,0.0,53.0,40390.0,28000.0,2.0,0.0,40390.0,1.0
2026-04-08,1504,東元,1889250.0,4733000.0,94.0,1019230.0,0.0,29.0,72370.0,37000.0,5.0,0.0,0.0,2.0
2026-04-08,1513,中興電,8976790.0,18554000.0,200.0,4848240.0,0.0,58.0,463920.0,374000.0,6.0,0.0,0.0,1.0
2026-04-08,1514,亞力,1190690.0,2585000.0,72.0,693520.0,0.0,33.0,13300.0,19000.0,2.0,0.0,0.0,1.0
2026-04-08,1519,華城,13242240.0,17724000.0,570.0,10741040.0,0.0,84.0,1844660.0,3004000.0,36.0,0.0,1834160.0,10.0
2026-04-08,1522,堤維西,1550.0,11000.0,2.0,1550.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1536,和大,4900.0,36000.0,6.0,2190.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1560,中砂,36247910.0,20887000.0,737.0,35748640.0,0.0,78.0,102770.0,297000.0,33.0,0.0,79570.0,5.0
2026-04-08,1563,巧新,300.0,10000.0,1.0,0.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1582,信錦,1520470.0,1212000.0,70.0,1291670.0,223400.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1590,亞德客-KY,7689420.0,8722000.0,216.0,7334100.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1597,直得,402590.0,434000.0,34.0,379740.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1605,華新,6572120.0,8864000.0,307.0,2305400.0,0.0,91.0,45410.0,57000.0,4.0,0.0,1690.0,4.0
2026-04-08,1608,華榮,276980.0,465000.0,13.0,150000.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1609,大亞,91310.0,221000.0,19.0,33910.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1708,東鹼,5962950.0,7125000.0,234.0,0.0,5900500.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1710,東聯,1045560.0,1679000.0,8.0,0.0,1045560.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1711,永光,4247350.0,4002000.0,187.0,144470.0,3314520.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1717,長興,14765560.0,12738000.0,570.0,14605260.0,0.0,56.0,62310.0,99000.0,5.0,0.0,62310.0,2.0
2026-04-08,1723,中碳,100110.0,133000.0,6.0,0.0,100110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1736,喬山,30.0,1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1773,勝一,475440.0,679000.0,62.0,475440.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1786,科妍,7580.0,8000.0,2.0,7580.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1795,美時,8563350.0,13444000.0,269.0,3717690.0,1366470.0,62.0,8690.0,11000.0,1.0,0.0,8690.0,1.0
2026-04-08,1802,台玻,8378420.0,5109000.0,456.0,7751840.0,0.0,50.0,214350.0,379000.0,18.0,0.0,214350.0,7.0
2026-04-08,1903,士紙,56000.0,200000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2002,中鋼,4785080.0,7962000.0,187.0,4667760.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2009,第一銅,47000.0,134000.0,11.0,29500.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2014,中鴻,206790.0,405000.0,5.0,206790.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
